,time,Pitch_increment,w,pitch,pitch_ref,Vx,obs.error_wg,obs.pitch,obs.Vx,obs.pitch_ref,reward
0,0.0,0,7.566418290169552,15.549999999999999,0.27,18.0,-0.002353470479470321,0.27139869868511823,18.0,0.27,-5.538823297738262e-06
1,0.01,0,7.572897345780893,14.828744216790056,0.27,18.0,-0.003031955596496605,0.2588104105190543,18.0,0.27,-9.192754739127084e-06
2,0.02,0,7.578971143178979,16.27125578320994,0.27,18.0,-0.0036680021726706036,0.2839869868511822,18.0,0.27,-1.3454239938716269e-05
3,0.03,0,7.586089333047009,15.06916281119337,0.27,18.0,-0.00441341727254585,0.26300650657440894,18.0,0.27,-1.9478252021606047e-05
4,0.04,0,7.591707205213971,15.549999999999999,0.27,18.0,-0.005001719470163701,0.27139869868511823,18.0,0.27,-2.5017197658214656e-05
5,0.05,0,7.598490518537361,15.469860468532229,0.27,18.0,-0.005712066380288983,0.27,18.0,0.27,-3.262770233282768e-05
6,0.060000000000000005,0,7.604779936836112,15.469860468532229,0.27,18.0,-0.00637069272437929,0.27,18.0,0.27,-4.058572578845922e-05
7,0.07,0,7.6111953497904095,15.469860468532229,0.27,18.0,-0.007042513197944911,0.27,18.0,0.27,-4.9596992143228255e-05
8,0.08,0,7.617598244434589,15.469860468532229,0.27,18.0,-0.007713022757140253,0.27,18.0,0.27,-5.949072005216343e-05
9,0.09,0,7.623981551747148,15.469860468532229,0.27,18.0,-0.008381481135764979,0.27,18.0,0.27,-7.02492260291842e-05
10,0.09999999999999999,0,7.630320987828638,15.469860468532229,0.27,18.0,-0.00904534532981538,0.27,18.0,0.27,-8.18182721356129e-05
11,0.10999999999999999,0,7.636585689116171,15.469860468532229,0.27,18.0,-0.009701383314543621,0.27,18.0,0.27,-9.411683821570537e-05
12,0.11999999999999998,0,7.6427385053222725,15.469860468532229,0.27,18.0,-0.010345704720942872,0.27,18.0,0.27,-0.00010703360617293963
13,0.12999999999999998,0,7.648736705768636,15.469860468532229,0.27,18.0,-0.01097383480284464,0.27,18.0,0.27,-0.00012042505028012425
14,0.13999999999999999,0,7.654532818748394,15.469860468532229,0.27,18.0,-0.01158080233473091,0.27,18.0,0.27,-0.0001341149827161089
15,0.15,0,7.66007565069415,15.469860468532229,0.27,18.0,-0.012161246338759812,0.27,18.0,0.27,-0.00014789591251199895
16,0.16,0,7.665311386821432,15.469860468532229,0.27,18.0,-0.012709531343879865,0.27,18.0,0.27,-0.00016153218698106473
17,0.17,0,7.670184963722967,15.469860468532229,0.27,18.0,-0.013219891123565586,0.27,18.0,0.27,-0.00017476552131892817
18,0.18000000000000002,0,7.674641461612382,15.469860468532229,0.27,18.0,-0.013686574491236336,0.27,18.0,0.27,-0.00018732232130416117
19,0.19000000000000003,0,7.678627099040384,15.469860468532229,0.27,18.0,-0.014103949466692578,0.27,18.0,0.27,-0.00019892139055901787
20,0.20000000000000004,0,7.6820911837476205,15.469860468532229,0.27,18.0,-0.014466707568948078,0.27,18.0,0.27,-0.0002092856278854596
21,0.21000000000000005,0,7.684987280742949,15.469860468532229,0.27,18.0,-0.014769986137101565,0.27,18.0,0.27,-0.0002181524904901724
22,0.22000000000000006,0,7.687275035315846,15.469860468532229,0.27,18.0,-0.015009559235749315,0.27,18.0,0.27,-0.00022528686845146756
23,0.23000000000000007,0,7.688920516482457,15.469860468532229,0.27,18.0,-0.015181873620570774,0.27,18.0,0.27,-0.00023048928663098274
24,0.24000000000000007,0,7.689898772550678,15.469860468532229,0.27,18.0,-0.0152843163564792,0.27,18.0,0.27,-0.0002336103264849376
25,0.25000000000000006,0,7.690193083403788,15.469860468532229,0.27,18.0,-0.015315136516945937,0.27,18.0,0.27,-0.00023455340653269095
26,0.26000000000000006,0,7.689797620619182,15.469860468532229,0.27,18.0,-0.015273723750983015,0.27,18.0,0.27,-0.00023328663722134264
27,0.2700000000000001,0,7.688717300001757,15.469860468532229,0.27,18.0,-0.015160592840475662,0.27,18.0,0.27,-0.0002298435752746819
28,0.2800000000000001,0,7.68696852850122,15.469860468532229,0.27,18.0,-0.01497746191717908,0.27,18.0,0.27,-0.00022432436548054964
29,0.2900000000000001,0,7.684579403017192,15.469860468532229,0.27,18.0,-0.014727273281541553,0.27,18.0,0.27,-0.0002168925783092077
30,0.3000000000000001,0,7.681589790264132,15.469860468532229,0.27,18.0,-0.014414201766138612,0.27,18.0,0.27,-0.0002077692125549535
31,0.3100000000000001,0,7.678050889795555,15.469860468532229,0.27,18.0,-0.014043608975676358,0.27,18.0,0.27,-0.00019722295306169759
32,0.3200000000000001,0,7.674025169881643,15.469860468532229,0.27,18.0,-0.01362203657211114,0.27,18.0,0.27,-0.00018555988037193344
33,0.3300000000000001,0,7.6695845848375175,15.469860468532229,0.27,18.0,-0.01315701959370219,0.27,18.0,0.27,-0.00017310716458906336
34,0.34000000000000014,0,7.664812321267293,15.469860468532229,0.27,18.0,-0.012657269321261877,0.27,18.0,0.27,-0.0001602064666709571
35,0.35000000000000014,0,7.659798175641795,15.469860468532229,0.27,18.0,-0.012132189219225431,0.27,18.0,0.27,-0.00014719001525108978
36,0.36000000000000015,0,7.654639520143319,15.469860468532229,0.27,18.0,-0.011591976078678234,0.27,18.0,0.27,-0.00013437390940864843
37,0.37000000000000016,0,7.649439283182026,15.469860468532229,0.27,18.0,-0.011047408537527503,0.27,18.0,0.27,-0.00012204523539503556
38,0.38000000000000017,0,7.644304112692168,15.469860468532229,0.27,18.0,-0.010509654741331809,0.27,18.0,0.27,-0.00011045284278199817
